URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/iso639-5/aav	aav	Austro-Asiatic languages	austro-asiatiques, langues
http://id.loc.gov/vocabulary/iso639-5/afa	afa	Afro-Asiatic languages	afro-asiatiques, langues
http://id.loc.gov/vocabulary/iso639-5/alg	alg	Algonquian languages	algonquines, langues
http://id.loc.gov/vocabulary/iso639-5/alv	alv	Atlantic-Congo languages	atlantique-congo, langues
http://id.loc.gov/vocabulary/iso639-5/apa	apa	Apache languages	apaches, langues
http://id.loc.gov/vocabulary/iso639-5/aqa	aqa	Alacalufan languages	alacalufanes, langues
http://id.loc.gov/vocabulary/iso639-5/aql	aql	Algic languages	algiques, langues
http://id.loc.gov/vocabulary/iso639-5/art	art	Artificial languages	artificielles, langues
http://id.loc.gov/vocabulary/iso639-5/ath	ath	Athapascan languages	athapascanes, langues
http://id.loc.gov/vocabulary/iso639-5/auf	auf	Arauan languages	arauanes, langues
http://id.loc.gov/vocabulary/iso639-5/aus	aus	Australian languages	australiennes, langues
http://id.loc.gov/vocabulary/iso639-5/awd	awd	Arawakan languages	arawak, langues
http://id.loc.gov/vocabulary/iso639-5/azc	azc	Uto-Aztecan languages	uto-aztèques, langues
http://id.loc.gov/vocabulary/iso639-5/bad	bad	Banda languages	banda, langues
http://id.loc.gov/vocabulary/iso639-5/bai	bai	Bamileke languages	bamiléké, langues
http://id.loc.gov/vocabulary/iso639-5/bat	bat	Baltic languages	baltes, langues
http://id.loc.gov/vocabulary/iso639-5/ber	ber	Berber languages	berbères, langues
http://id.loc.gov/vocabulary/iso639-5/bih	bih	Bihari languages	langues biharis
http://id.loc.gov/vocabulary/iso639-5/bnt	bnt	Bantu languages	bantou, langues
http://id.loc.gov/vocabulary/iso639-5/btk	btk	Batak languages	batak, langues
http://id.loc.gov/vocabulary/iso639-5/cai	cai	Central American Indian languages	amérindiennes de l'Amérique centrale, langues
http://id.loc.gov/vocabulary/iso639-5/cau	cau	Caucasian languages	caucasiennes, langues
http://id.loc.gov/vocabulary/iso639-5/cba	cba	Chibchan languages	chibcha, langues
http://id.loc.gov/vocabulary/iso639-5/ccn	ccn	North Caucasian languages	caucasiennes du Nord, langues
http://id.loc.gov/vocabulary/iso639-5/ccs	ccs	South Caucasian languages	caucasiennes du Sud, langues
http://id.loc.gov/vocabulary/iso639-5/cdc	cdc	Chadic languages	tchadiques, langues
http://id.loc.gov/vocabulary/iso639-5/cdd	cdd	Caddoan languages	caddoanes, langues
http://id.loc.gov/vocabulary/iso639-5/cel	cel	Celtic languages	celtiques, langues; celtes, langues
http://id.loc.gov/vocabulary/iso639-5/cmc	cmc	Chamic languages	chames, langues
http://id.loc.gov/vocabulary/iso639-5/cpe	cpe	Creoles and pidgins, English‑based	créoles et pidgins basés sur l'anglais
http://id.loc.gov/vocabulary/iso639-5/cpf	cpf	Creoles and pidgins, French‑based	créoles et pidgins basés sur le français
http://id.loc.gov/vocabulary/iso639-5/cpp	cpp	Creoles and pidgins, Portuguese-based	créoles et pidgins basés sur le portugais
http://id.loc.gov/vocabulary/iso639-5/crp	crp	Creoles and pidgins	créoles et pidgins
http://id.loc.gov/vocabulary/iso639-5/csu	csu	Central Sudanic languages	soudaniques centrales, langues
http://id.loc.gov/vocabulary/iso639-5/cus	cus	Cushitic languages	couchitiques, langues
http://id.loc.gov/vocabulary/iso639-5/day	day	Land Dayak languages	dayak, langues
http://id.loc.gov/vocabulary/iso639-5/dmn	dmn	Mande languages	mandé, langues
http://id.loc.gov/vocabulary/iso639-5/dra	dra	Dravidian languages	dravidiennes, langues
http://id.loc.gov/vocabulary/iso639-5/egx	egx	Egyptian languages	égyptiennes, langues
http://id.loc.gov/vocabulary/iso639-5/esx	esx	Eskimo-Aleut languages	esquimaudes-aléoutiennes, langues
http://id.loc.gov/vocabulary/iso639-5/euq	euq	Basque (family)	basque (famille)
http://id.loc.gov/vocabulary/iso639-5/fiu	fiu	Finno-Ugrian languages	finno-ougriennes, langues
http://id.loc.gov/vocabulary/iso639-5/fox	fox	Formosan languages	formosanes, langues
http://id.loc.gov/vocabulary/iso639-5/gem	gem	Germanic languages	germaniques, langues
http://id.loc.gov/vocabulary/iso639-5/gme	gme	East Germanic languages	germaniques orientales, langues
http://id.loc.gov/vocabulary/iso639-5/gmq	gmq	North Germanic languages	germaniques septentrionales, langues
http://id.loc.gov/vocabulary/iso639-5/gmw	gmw	West Germanic languages	germaniques occidentales, langues
http://id.loc.gov/vocabulary/iso639-5/grk	grk	Greek languages	grecques, langues
http://id.loc.gov/vocabulary/iso639-5/hmx	hmx	Hmong-Mien languages	hmong-mien, langues
http://id.loc.gov/vocabulary/iso639-5/hok	hok	Hokan languages	hoka, langues
http://id.loc.gov/vocabulary/iso639-5/hyx	hyx	Armenian (family)	arménien (famille)
http://id.loc.gov/vocabulary/iso639-5/iir	iir	Indo-Iranian languages	indo-iraniennes, langues
http://id.loc.gov/vocabulary/iso639-5/ijo	ijo	Ijo languages	ijo, langues
http://id.loc.gov/vocabulary/iso639-5/inc	inc	Indic languages	indo-aryennes, langues
http://id.loc.gov/vocabulary/iso639-5/ine	ine	Indo-European languages	indo-européennes, langues
http://id.loc.gov/vocabulary/iso639-5/ira	ira	Iranian languages	iraniennes, langues
http://id.loc.gov/vocabulary/iso639-5/iro	iro	Iroquoian languages	iroquoises, langues
http://id.loc.gov/vocabulary/iso639-5/itc	itc	Italic languages	italiques, langues
http://id.loc.gov/vocabulary/iso639-5/jpx	jpx	Japanese (family)	japonais (famille)
http://id.loc.gov/vocabulary/iso639-5/kar	kar	Karen languages	karen, langues
http://id.loc.gov/vocabulary/iso639-5/kdo	kdo	Kordofanian languages	kordofaniennes, langues
http://id.loc.gov/vocabulary/iso639-5/khi	khi	Khoisan languages	khoïsan, langues
http://id.loc.gov/vocabulary/iso639-5/kro	kro	Kru languages	krou, langues
http://id.loc.gov/vocabulary/iso639-5/map	map	Austronesian languages	austronésiennes, langues
http://id.loc.gov/vocabulary/iso639-5/mkh	mkh	Mon-Khmer languages	môn-khmer, langues
http://id.loc.gov/vocabulary/iso639-5/mno	mno	Manobo languages	manobo, langues
http://id.loc.gov/vocabulary/iso639-5/mun	mun	Munda languages	mounda, langues
http://id.loc.gov/vocabulary/iso639-5/myn	myn	Mayan languages	maya, langues
